Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d09bb.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc09.txt,402,1455,255,1,17.52577319587629,63.43283582089552,27.463651050080774,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d09bb.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc09.txt,401,1454,56,2,3.8514442916093534,13.965087281795512,6.037735849056603,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d09bb.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc09.txt,400,1453,9,3,0.6194081211286993,2.25,0.9713977334052888,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d10bb.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc10.txt,402,504,183,1,36.30952380952381,45.52238805970149,40.39735099337748,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d10bb.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc10.txt,401,503,42,2,8.34990059642147,10.473815461346634,9.29203539823009,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d10bb.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc10.txt,400,502,10,3,1.9920318725099602,2.5,2.2172949002217295,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d11bb.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc11.txt,406,215,101,1,46.97674418604651,24.876847290640395,32.52818035426731,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d11bb.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc11.txt,405,214,40,2,18.69158878504673,9.876543209876543,12.924071082390952,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d11bb.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc11.txt,404,213,25,3,11.737089201877934,6.188118811881188,8.103727714748786,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d12bb.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc12.txt,405,265,104,1,39.24528301886792,25.679012345679013,31.044776119402982,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d12bb.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc12.txt,404,264,7,2,2.6515151515151514,1.7326732673267327,2.095808383233533,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d12bb.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc12.txt,403,263,0,3,0.0,0.0,NaN,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d13cc.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc13.txt,371,624,180,1,28.846153846153847,48.517520215633425,36.18090452261307,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d13cc.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc13.txt,370,623,39,2,6.260032102728732,10.54054054054054,7.854984894259817,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d13cc.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc13.txt,369,622,9,3,1.4469453376205788,2.4390243902439024,1.8163471241170535,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d14cc.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc14.txt,375,291,121,1,41.580756013745706,32.266666666666666,36.336336336336345,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d14cc.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc14.txt,374,290,26,2,8.96551724137931,6.951871657754011,7.831325301204819,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d14cc.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc14.txt,373,289,5,3,1.7301038062283738,1.3404825737265416,1.5105740181268883,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d15cc.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc15.txt,385,241,115,1,47.71784232365145,29.87012987012987,36.74121405750799,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d15cc.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc15.txt,384,240,20,2,8.333333333333334,5.208333333333333,6.41025641025641,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d15cc.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc15.txt,383,239,5,3,2.092050209205021,1.3054830287206267,1.6077170418006432,
