500,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,
1,68.66692374,68.49216077,66.89470065,,,,,,,,,,,,
2,58.10922285,57.74256558,56.4572536,,,,,,,,,,,,
3,55.40428636,54.9665955,53.77881155,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,Rada Mihalcea’s,,,Jaccard,,,Dice,,
,,,,,,N,Precision,Recall,FMeasure,Precision,Recall,FMeasure,Precision,Recall,FMeasure
,,,,,,1,68.67%,68.49%,66.89%,74.10%,51.70%,55.60%,72.10%,50.80%,54.10%
,,,,,,2,58%,57.74%,56.46%,56.70%,34.50%,39.50%,57%,39.10%,42.40%
,,,,,,3,55.40%,54.97%,53.78%,51%,29.80%,35.00%,53.10%,35.70%,39.30%
,,,,,,,,,,,,,,,
