Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-115-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_new/Doc-115.txt,101,254,99,2,38.976377952755904,98.01980198019803,55.774647887323944,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-115-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_new/Doc-115.txt,100,253,96,3,37.944664031620555,96.0,54.39093484419263,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-116-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_new/Doc-116.txt,146,144,135,1,93.75,92.46575342465754,93.10344827586206,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-116-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_new/Doc-116.txt,145,143,133,2,93.00699300699301,91.72413793103448,92.36111111111111,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-116-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_new/Doc-116.txt,144,142,131,3,92.25352112676056,90.97222222222223,91.60839160839161,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-117-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_new/Doc-117.txt,246,172,164,1,95.34883720930233,66.66666666666667,78.46889952153111,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-117-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_new/Doc-117.txt,245,171,156,2,91.2280701754386,63.673469387755105,75.00000000000001,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-117-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_new/Doc-117.txt,244,170,151,3,88.82352941176471,61.885245901639344,72.94685990338164,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-118-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_new/Doc-118.txt,280,332,129,1,38.855421686746986,46.07142857142857,42.15686274509803,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-118-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_new/Doc-118.txt,279,331,39,2,11.782477341389727,13.978494623655914,12.78688524590164,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-118-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_new/Doc-118.txt,278,330,24,3,7.2727272727272725,8.633093525179856,7.894736842105263,
